Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_uimm,cp_gpr_hazard
bclr,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
bclri,IS,x,x,x,x,,x,x,,,,x,,,x,rw
bext,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
bexti,IS,x,x,x,x,,x,x,,,,x,,,x,rw
binv,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
binvi,IS,x,x,x,x,,x,x,,,,x,,,x,rw
bset,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
bseti,IS,x,x,x,x,,x,x,,,,x,,,x,rw
