Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_vs3,cp_vs2,cp_vs2_edges,cmp_vd_vs2,cmp_vs3_vs2,cp_rs1,cp_rs2,cp_rs2_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0
vsoxseg7ei8.v,VSXVM,x,x,x,x,x,x,x,,lte25,x,ls,,lte25,nx0,,,x,e8_emul1max,e8_emul1max,x
vsoxseg7ei16.v,VSXVM,x,x,x,x,x,x,x,,lte25,x,ls,,lte25,nx0,,,x,e16_emul1max,e16_emul1max,x
vsoxseg7ei32.v,VSXVM,x,x,x,x,x,x,x,,lte25,x,ls,,lte25,nx0,,,x,e32_emul1max,e32_emul1max,x
vsoxseg7ei64.v,VSXVM,x,x,x,x,x,x,x,,lte25,x,ls,,lte25,nx0,,,x,e64_emul1max,e64_emul1max,x
vsoxseg8ei8.v,VSXVM,x,x,x,x,x,x,x,,lte24,x,ls,,lte24,nx0,,,x,e8_emul1max,e8_emul1max,x
vsoxseg8ei16.v,VSXVM,x,x,x,x,x,x,x,,lte24,x,ls,,lte24,nx0,,,x,e16_emul1max,e16_emul1max,x
vsoxseg8ei32.v,VSXVM,x,x,x,x,x,x,x,,lte24,x,ls,,lte24,nx0,,,x,e32_emul1max,e32_emul1max,x
vsoxseg8ei64.v,VSXVM,x,x,x,x,x,x,x,,lte24,x,ls,,lte24,nx0,,,x,e64_emul1max,e64_emul1max,x
vl1re8.v,VX,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x
vl2re8.v,VX,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x
vl4re8.v,VX,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x
vl8re8.v,VX,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x
vl1re16.v,VX,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x
vl2re16.v,VX,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x
vl4re16.v,VX,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x
vl8re16.v,VX,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x
vl1re32.v,VX,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x
vl2re32.v,VX,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x
vl4re32.v,VX,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x
vl8re32.v,VX,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x
vl1re64.v,VX,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x
vl2re64.v,VX,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x
vl4re64.v,VX,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x
vl8re64.v,VX,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x
vs1r.v,VSX,x,x,x,x,x,x,x,,x,,,,,nx0,,,,x,nomask,x
vs2r.v,VSX,x,x,x,x,x,x,x,,emul2,,,,,nx0,,,,x,nomask,x
vs4r.v,VSX,x,x,x,x,x,x,x,,emul4,,,,,nx0,,,,x,nomask,x
vs8r.v,VSX,x,x,x,x,x,x,x,,emul8,,,,,nx0,,,,x,nomask,x
vsm.v,VSX,x,x,x,x,x,x,x,,x,,,,,nx0,,,,x,nomask,x
vlm.v,VX,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x
