Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_uimm,cp_gpr_hazard
add.uw,R,,x,x,x,x,x,x,x,x,x,x,x,x,,rw
sh1add,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
sh1add.uw,R,,x,x,x,x,x,x,x,x,x,x,x,x,,rw
sh2add,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
sh2add.uw,R,,x,x,x,x,x,x,x,x,x,x,x,x,,rw
sh3add,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
sh3add.uw,R,,x,x,x,x,x,x,x,x,x,x,x,x,,rw
slli.uw,IS,,x,x,x,,x,x,,,,x,,,x,rw
