Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_uimm_5,cp_vs3,cp_vm,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_custom
vmxor.mm,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmor.mm,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmnor.mm,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmorn.mm,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmxnor.mm,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vcpop.m,VRV,x,x,x,x,x,x,x,,x,x,,,,,,x,,,,,
vfirst.m,VRV,x,x,x,x,x,x,x,,x,x,,,,,,x,,,,,
vmsbf.m,VVV,x,x,x,x,x,x,x,nv0ifm,,x,,,,,,x,(vd connot eq vs2),,,,
vmsif.m,VVV,x,x,x,x,x,x,x,nv0ifm,,x,,,,,,x,(vd connot eq vs2),,,,
vmsof.m,VVV,x,x,x,x,x,x,x,nv0ifm,,x,,,,,,x,(vd connot eq vs2),,,,
viota.m,VVV,x,x,x,x,x,x,x,nv0ifm,,x,,,,,,x,(vd connot eq vs2),,,,
vid.v,VD,x,x,x,x,x,x,x,x,,,,,,,,x,,,,,
vmv.x.s,VRVX,x,x,x,x,x,x,x,,x,x,,,,,,,,,,,
vmv.s.x,VXX,x,x,x,x,x,x,x,x,,,,,x,,,,,,,,
vslideup.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,(vd connot eq vs2),,,,
vslideup.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,(vd connot eq vs2),,,,
vslidedown.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vslidedown.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vslide1up.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,(vd connot eq vs2),,,,
vslide1down.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vrgather.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,(vd connot eq vs2),,x,,
vrgather.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vrgather.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vrgatherei16.vv,VV,,x,,x,x,x,x,x,,x,,x,,,,x,(vd connot eq vs2),,x,,
vcompress.vm,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,(vd connot eq vs2),,x,,
vmv1r.v,VVVX,x,x,x,x,x,x,x,x,,x,,,,,,,x,,,,
vmv2r.v,VVVX,x,x,x,x,x,x,x,x,,x,,,,,,,x,,,,
vmv4r.v,VVVX,x,x,x,x,x,x,x,x,,x,,,,,,,x,,,,
vmv8r.v,VVVX,x,x,x,x,x,x,x,x,,x,,,,,,,x,,,,
,,,,,,,,,,,,,,,,,,,,,,
vsetvli,VSET,x,x,x,x,x,x,x,,x,,,,x,,,,,,,,
vsetivli,VSETI,x,x,x,x,x,x,x,,x,,,,,x,,,,,,,
vsetvl,VRR,x,x,x,x,x,x,x,,x,,x,,x,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
load,,,,,,,,,,,,,,,,,,,,,,
